직업,산업군,total,default
6,29,1.66678E-05,0.000155594
6,7,1.66678E-05,0.000155594
6,31,1.66678E-05,0.000155594
6,27,0,0
6,2,0,0
6,14,0,0
6,6,0,0
6,22,0,0
6,13,0,0
6,11,0,0
6,19,0,0
6,25,0,0
18,16,0.000716714,0.006690524
18,24,0.000383359,0.003578653
18,26,0.00015001,0.001400342
18,5,0.000116674,0.001089155
18,20,0.000116674,0.001089155
18,28,8.33389E-05,0.000777968
18,8,6.66711E-05,0.000622374
18,0,5.00033E-05,0.000466781
18,17,5.00033E-05,0.000466781
18,30,5.00033E-05,0.000466781
18,21,3.33356E-05,0.000311187
18,23,3.33356E-05,0.000311187
18,29,1.66678E-05,0.000155594
18,11,1.66678E-05,0.000155594
18,25,1.66678E-05,0.000155594
18,22,1.66678E-05,0.000155594
18,14,1.66678E-05,0.000155594
18,3,0,0
18,4,0,0
18,13,0,0
18,18,0,0
18,6,0,0
18,19,0,0
18,12,0,0
18,7,0,0
18,31,0,0
18,2,0,0
18,1,0,0
18,9,0,0
18,10,0,0
18,15,0,0
15,24,0.000466698,0.004356621
15,16,0.00045003,0.004201027
15,17,0.000183346,0.001711529
15,10,0.000100007,0.000933562
15,6,6.66711E-05,0.000622374
15,0,6.66711E-05,0.000622374
15,28,3.33356E-05,0.000311187
15,26,3.33356E-05,0.000311187
15,1,1.66678E-05,0.000155594
15,20,1.66678E-05,0.000155594
15,8,1.66678E-05,0.000155594
15,7,1.66678E-05,0.000155594
15,30,1.66678E-05,0.000155594
15,5,1.66678E-05,0.000155594
15,21,0,0
15,9,0,0
15,23,0,0
15,19,0,0
15,2,0,0
2,24,0.000316688,0.002956278
2,16,0.00015001,0.001400342
2,18,0.000133342,0.001244749
2,23,3.33356E-05,0.000311187
2,6,1.66678E-05,0.000155594
2,10,1.66678E-05,0.000155594
2,31,1.66678E-05,0.000155594
2,8,0,0
2,5,0,0
2,30,0,0
2,11,0,0
2,26,0,0
2,20,0,0
2,21,0,0
2,3,0,0
2,17,0,0
11,16,0.000233349,0.00217831
11,24,0.000166678,0.001555936
11,23,5.00033E-05,0.000466781
11,8,5.00033E-05,0.000466781
11,10,1.66678E-05,0.000155594
11,20,1.66678E-05,0.000155594
11,7,1.66678E-05,0.000155594
11,26,1.66678E-05,0.000155594
11,6,0,0
11,21,0,0
11,30,0,0
11,31,0,0
11,5,0,0
11,17,0,0
9,16,0.000133342,0.001244749
9,23,0.000100007,0.000933562
9,24,5.00033E-05,0.000466781
9,10,1.66678E-05,0.000155594
9,22,1.66678E-05,0.000155594
9,5,1.66678E-05,0.000155594
9,26,1.66678E-05,0.000155594
9,28,1.66678E-05,0.000155594
9,30,1.66678E-05,0.000155594
9,21,1.66678E-05,0.000155594
9,17,1.66678E-05,0.000155594
9,0,0,0
9,7,0,0
9,20,0,0
9,12,0,0
9,3,0,0
9,6,0,0
8,24,0.00015001,0.001400342
8,18,3.33356E-05,0.000311187
8,15,3.33356E-05,0.000311187
8,16,3.33356E-05,0.000311187
8,5,1.66678E-05,0.000155594
8,0,0,0
8,26,0,0
8,23,0,0
14,16,6.66711E-05,0.000622374
14,0,3.33356E-05,0.000311187
14,24,3.33356E-05,0.000311187
14,13,3.33356E-05,0.000311187
14,3,0,0
14,23,0,0
14,21,0,0
14,6,0,0
14,5,0,0
14,7,0,0
14,20,0,0
14,10,0,0
14,22,0,0
14,25,0,0
14,4,0,0
14,26,0,0
14,1,0,0
14,28,0,0
14,29,0,0
14,30,0,0
14,31,0,0
14,17,0,0
14,19,0,0
0,16,3.33356E-05,0.000311187
0,30,3.33356E-05,0.000311187
0,4,1.66678E-05,0.000155594
0,7,1.66678E-05,0.000155594
0,23,0,0
0,1,0,0
0,5,0,0
0,17,0,0
0,6,0,0
0,20,0,0
0,22,0,0
0,10,0,0
0,24,0,0
0,26,0,0
0,31,0,0
0,11,0,0
0,0,0,0
0,13,0,0
총합계,,0.107123808,1
